INFO  - 2023-03-07 16:30:01.907; utils.log; START=StudentsCreateVideoCV--------------------------------------------------------------
INFO  - 2023-03-07 16:30:06.214; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 16:30:08.896; utils.log; Welcome to Alpha Machine Text Validated
INFO  - 2023-03-07 16:30:08.898; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-07 16:30:13.565; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2023-03-07 16:30:15.580; utils.log; Login Successful
INFO  - 2023-03-07 16:30:19.779; utils.log; Menu Dropdown Clicked
INFO  - 2023-03-07 16:30:19.851; utils.log; My CV Selected
INFO  - 2023-03-07 16:30:22.969; utils.log; Add Video CV Click
INFO  - 2023-03-07 16:30:26.057; utils.log; Video Selected 
INFO  - 2023-03-07 16:30:33.151; utils.log; Save BUTTON CLICKED 
INFO  - 2023-03-07 16:30:34.167; utils.log;   Video CV is Saved successfully
INFO  - 2023-03-07 16:30:34.167; utils.log; End TEST-------------------------- StudentChangeEmail------------------------
INFO  - 2023-03-07 16:30:34.168; utils.log; END=PASSED
INFO  - 2023-03-07 16:46:23.812; utils.log; START=StudentsFindRecommendations--------------------------------------------------------------
INFO  - 2023-03-07 16:46:28.640; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 16:46:31.310; utils.log; Welcome to Alpha Machine Text Validated
INFO  - 2023-03-07 16:46:31.311; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-07 16:46:36.026; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2023-03-07 16:46:38.064; utils.log; Login Successful
INFO  - 2023-03-07 16:46:40.135; utils.log; Menu Dropdown Clicked
INFO  - 2023-03-07 16:46:42.206; utils.log; Dashboard Menu Selected
INFO  - 2023-03-07 16:46:44.251; utils.log; 3 Recommended Jobs Displayed on the Dashboard
INFO  - 2023-03-07 16:46:46.308; utils.log; Menu Dropdown Clicked
INFO  - 2023-03-07 16:46:46.397; utils.log; Jobs Menu Selected
INFO  - 2023-03-07 16:47:30.487; utils.log; END=FAILED
INFO  - 2023-03-07 17:01:15.435; utils.log; START=StudentsFindRecommendations--------------------------------------------------------------
INFO  - 2023-03-07 17:01:20.309; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:01:23.621; utils.log; Welcome to Alpha Machine Text Validated
INFO  - 2023-03-07 17:01:23.622; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-07 17:01:28.303; utils.log; Username , Password  and Sign In Button Entered  
INFO  - 2023-03-07 17:01:30.354; utils.log; Login Successful
INFO  - 2023-03-07 17:01:32.470; utils.log; Menu Dropdown Clicked
INFO  - 2023-03-07 17:01:34.541; utils.log; Dashboard Menu Selected
INFO  - 2023-03-07 17:01:36.605; utils.log; 3 Recommended Jobs Displayed on the Dashboard
INFO  - 2023-03-07 17:01:36.605; utils.log; End TEST-------------------------- StudentsFindRecommendations------------------------
INFO  - 2023-03-07 17:01:36.605; utils.log; END=PASSED
INFO  - 2023-03-07 17:03:48.550; utils.log; START=StudentsSaveJob--------------------------------------------------------------
INFO  - 2023-03-07 17:04:24.768; utils.log; START=EmpAddNewJob--------------------------------------------------------------
INFO  - 2023-03-07 17:04:25.498; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:04:29.409; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:04:31.235; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-07 17:04:37.700; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-07 17:04:39.939; utils.log; Employer Login Successful
INFO  - 2023-03-07 17:04:44.122; utils.log; Dropdown  Clicked
INFO  - 2023-03-07 17:04:46.210; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-07 17:04:48.940; utils.log; Add New Job Button  Clicked
INFO  - 2023-03-07 17:05:15.070; utils.log; Page 1 job details completed and Next button clicked 
INFO  - 2023-03-07 17:05:59.994; utils.log; END=FAILED
INFO  - 2023-03-07 17:10:25.952; utils.log; START=EmpAddNewJob--------------------------------------------------------------
INFO  - 2023-03-07 17:10:26.651; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:10:30.700; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:10:32.796; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-07 17:10:39.170; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-07 17:10:41.284; utils.log; Employer Login Successful
INFO  - 2023-03-07 17:10:45.565; utils.log; Dropdown  Clicked
INFO  - 2023-03-07 17:10:47.670; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-07 17:10:50.520; utils.log; Add New Job Button  Clicked
INFO  - 2023-03-07 17:11:16.640; utils.log; Page 1 job details completed and Next button clicked 
INFO  - 2023-03-07 17:11:36.835; utils.log; Page 2 job details completed and post job button is clicked 
INFO  - 2023-03-07 17:11:38.892; utils.log; Job Was Created Succesfully and displayed
INFO  - 2023-03-07 17:11:38.893; utils.log; End TEST-------------------------- EmpAddNewJob------------------------
INFO  - 2023-03-07 17:11:38.894; utils.log; END=PASSED
INFO  - 2023-03-07 17:15:12.734; utils.log; START=EmpAddNewJob--------------------------------------------------------------
INFO  - 2023-03-07 17:15:13.537; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:15:17.009; utils.log; Chrome browser is Selected 
INFO  - 2023-03-07 17:15:19.413; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-07 17:15:25.999; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-07 17:15:28.250; utils.log; Employer Login Successful
INFO  - 2023-03-07 17:15:32.455; utils.log; Dropdown  Clicked
INFO  - 2023-03-07 17:15:34.523; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-07 17:15:37.150; utils.log; Add New Job Button  Clicked
INFO  - 2023-03-07 17:16:03.125; utils.log; Page 1 job details completed and Next button clicked 
INFO  - 2023-03-07 17:16:23.738; utils.log; Page 2 job details completed and post job button is clicked 
INFO  - 2023-03-07 17:16:25.824; utils.log; Job Was Created Succesfully and displayed
INFO  - 2023-03-07 17:16:25.825; utils.log; End TEST-------------------------- EmpAddNewJob------------------------
INFO  - 2023-03-07 17:16:25.825; utils.log; END=PASSED
INFO  - 2023-03-08 09:31:40.460; utils.log; START=EmpAddNewJob--------------------------------------------------------------
INFO  - 2023-03-08 09:31:41.619; utils.log; Chrome browser is Selected 
INFO  - 2023-03-08 09:31:47.192; utils.log; Chrome browser is Selected 
INFO  - 2023-03-08 09:31:49.168; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-08 09:31:55.443; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-08 09:31:57.491; utils.log; Employer Login Successful
INFO  - 2023-03-08 09:32:01.844; utils.log; Dropdown  Clicked
INFO  - 2023-03-08 09:32:03.923; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-08 09:32:06.689; utils.log; Add New Job Button  Clicked
INFO  - 2023-03-08 09:32:32.551; utils.log; Page 1 job details completed and Next button clicked 
INFO  - 2023-03-08 09:32:52.247; utils.log; Page 2 job details completed and post job button is clicked 
INFO  - 2023-03-08 09:32:54.292; utils.log; Job Was Created Succesfully and displayed
INFO  - 2023-03-08 09:32:54.292; utils.log; End TEST-------------------------- EmpAddNewJob------------------------
INFO  - 2023-03-08 09:32:54.293; utils.log; END=PASSED
INFO  - 2023-03-09 13:15:04.989; utils.log; START=AddEmployerLocation--------------------------------------------------------------
INFO  - 2023-03-09 13:15:05.721; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:15:10.698; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:15:12.751; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-09 13:15:18.984; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-09 13:15:21.009; utils.log; Employer Login Successful
INFO  - 2023-03-09 13:15:23.833; utils.log; Employer Profile Menu Clicked
INFO  - 2023-03-09 13:15:27.923; utils.log; Location Menu Selected
INFO  - 2023-03-09 13:15:30.010; utils.log; Add New location  Clicked
INFO  - 2023-03-09 13:15:39.428; utils.log; Title Address, City , Country and Address Entered
INFO  - 2023-03-09 13:15:39.499; utils.log; Add Button Clicked
INFO  - 2023-03-09 13:15:41.572; utils.log; Location Was Created Succesfully 
INFO  - 2023-03-09 13:15:41.573; utils.log; End TEST-------------------------- EMPAddEmployerLocation------------------------
INFO  - 2023-03-09 13:15:41.575; utils.log; END=PASSED
INFO  - 2023-03-09 13:15:43.041; utils.log; START=EmpAddJobMultiLocations--------------------------------------------------------------
INFO  - 2023-03-09 13:15:43.131; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:15:45.124; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:15:46.973; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-09 13:15:53.392; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-09 13:15:55.534; utils.log; Employer Login Successful
INFO  - 2023-03-09 13:15:59.722; utils.log; Dropdown  Clicked
INFO  - 2023-03-09 13:16:01.800; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-09 13:16:05.043; utils.log; Add New Job Button  Clicked
INFO  - 2023-03-09 13:16:15.624; utils.log; Page 1 job details completed and Next button clicked 
INFO  - 2023-03-09 13:16:22.343; utils.log; Page 2 job details completed and post job button is clicked with Multiple Location Selected  
INFO  - 2023-03-09 13:16:22.358; utils.log; Multiple Jobs to be Posted Dialog Opened 
INFO  - 2023-03-09 13:16:22.404; utils.log; Cancel Button Clicked 
INFO  - 2023-03-09 13:16:24.626; utils.log; Post job button is clicked again
INFO  - 2023-03-09 13:16:26.702; utils.log; Post 2 job button clicked on the Dialog 
INFO  - 2023-03-09 13:16:28.742; utils.log; Job Was Created Succesfully and also displayed
INFO  - 2023-03-09 13:16:28.743; utils.log; End TEST-------------------------- EmpAddJobMultiLocations------------------------
INFO  - 2023-03-09 13:16:28.744; utils.log; END=PASSED
INFO  - 2023-03-09 13:16:29.968; utils.log; START=EmpAddNewJob--------------------------------------------------------------
INFO  - 2023-03-09 13:16:30.127; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:16:32.143; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:16:34.225; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-09 13:16:40.399; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-09 13:16:42.496; utils.log; Employer Login Successful
INFO  - 2023-03-09 13:16:46.684; utils.log; Dropdown  Clicked
INFO  - 2023-03-09 13:16:48.744; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-09 13:16:51.515; utils.log; Add New Job Button  Clicked
INFO  - 2023-03-09 13:17:17.054; utils.log; Page 1 job details completed and Next button clicked 
INFO  - 2023-03-09 13:17:36.631; utils.log; Page 2 job details completed and post job button is clicked 
INFO  - 2023-03-09 13:17:38.671; utils.log; Job Was Created Succesfully and displayed
INFO  - 2023-03-09 13:17:38.672; utils.log; End TEST-------------------------- EmpAddNewJob------------------------
INFO  - 2023-03-09 13:17:38.673; utils.log; END=PASSED
INFO  - 2023-03-09 13:17:39.875; utils.log; START=ChangeEmployerLogo--------------------------------------------------------------
INFO  - 2023-03-09 13:17:39.963; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:17:41.789; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:17:43.597; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-09 13:17:49.925; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-09 13:17:52.039; utils.log; Employer Login Successful
INFO  - 2023-03-09 13:17:54.859; utils.log; Employer Profile Menu Clicked
INFO  - 2023-03-09 13:17:56.942; utils.log; Edit Employer Icon Clicked
INFO  - 2023-03-09 13:17:57.062; utils.log; Image Selected 
INFO  - 2023-03-09 13:18:39.110; utils.log; END=FAILED
INFO  - 2023-03-09 13:18:40.498; utils.log; START=ChangeEmployerName--------------------------------------------------------------
INFO  - 2023-03-09 13:18:40.599; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:18:42.392; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:18:44.207; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-09 13:18:50.554; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-09 13:18:52.619; utils.log; Employer Login Successful
INFO  - 2023-03-09 13:18:55.368; utils.log; Employer Profile MenuClicked
INFO  - 2023-03-09 13:18:57.459; utils.log; Edit Employer Icon Clicked
INFO  - 2023-03-09 13:18:57.743; utils.log; Employer Name Entered
INFO  - 2023-03-09 13:18:57.843; utils.log; Company Industry  Clicked
INFO  - 2023-03-09 13:18:59.920; utils.log; Company Industry Option Selected
INFO  - 2023-03-09 13:19:02.008; utils.log; Save Button  Clicked 
INFO  - 2023-03-09 13:19:02.252; utils.log; Employer Name and Industry Saved successfully 
INFO  - 2023-03-09 13:19:02.253; utils.log; End TEST--------------------------ChangeEmployerName------------------------
INFO  - 2023-03-09 13:19:02.253; utils.log; END=PASSED
INFO  - 2023-03-09 13:19:03.151; utils.log; START=CloseJob--------------------------------------------------------------
INFO  - 2023-03-09 13:19:03.272; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:19:05.090; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:19:06.901; utils.log; Test Execution Started On  Alpha
INFO  - 2023-03-09 13:19:13.252; utils.log; Username , Password Entered and Sign In Button Clicked  
INFO  - 2023-03-09 13:19:15.274; utils.log; Employer Login Successful
INFO  - 2023-03-09 13:19:19.455; utils.log; Dropdown  Clicked
INFO  - 2023-03-09 13:19:21.579; utils.log; Jobs Menu  Clicked
INFO  - 2023-03-09 13:19:23.623; utils.log; Open Menu  Clicked
INFO  - 2023-03-09 13:19:25.684; utils.log; Job to be closed Selected
INFO  - 2023-03-09 13:19:27.742; utils.log; Close Button Clicked Clicked
INFO  - 2023-03-09 13:19:29.804; utils.log; NoButton Clicked Clicked
INFO  - 2023-03-09 13:19:29.851; utils.log; Close Button Clicked Clicked
INFO  - 2023-03-09 13:19:32.006; utils.log; YesButton Clicked Clicked
INFO  - 2023-03-09 13:19:40.435; utils.log; Survey Questions is displayed and Answered
INFO  - 2023-03-09 13:19:40.489; utils.log; Closed Jobs  Section Clicked
INFO  - 2023-03-09 13:19:42.549; utils.log; Job was displayed in Closed Section 
INFO  - 2023-03-09 13:19:44.550; utils.log; End TEST-------------------------- CloseJob------------------------
INFO  - 2023-03-09 13:19:44.551; utils.log; END=PASSED
INFO  - 2023-03-09 13:19:45.596; utils.log; START=DeleteEmployerLocation--------------------------------------------------------------
INFO  - 2023-03-09 13:19:45.670; utils.log; Chrome browser is Selected 
INFO  - 2023-03-09 13:19:47.622; utils.log; Chrome browser is Selected 
